序号,weather?,weekend?,promotion?,sales_volume?
1,bad,yes,yes,high
2,bad,yes,yes,high
3,bad,yes,yes,high
4,bad,no,yes,high
5,bad,yes,yes,high
6,bad,no,yes,high
7,bad,yes,no,high
8,good,yes,yes,high
9,good,yes,no,high
10,good,yes,yes,high
11,good,yes,yes,high
12,good,yes,yes,high
13,good,yes,yes,high
14,bad,yes,yes,low
15,good,no,yes,high
16,good,no,yes,high
17,good,no,yes,high
18,good,no,yes,high
19,good,no,no,high
20,bad,no,no,low
21,bad,no,yes,low
22,bad,no,yes,low
23,bad,no,yes,low
24,bad,no,no,low
25,bad,yes,no,low
26,good,no,yes,low
27,good,no,yes,low
28,bad,no,no,low
29,bad,no,no,low
30,good,no,no,low
31,bad,yes,no,low
32,good,no,yes,low
33,good,no,no,low
34,good,no,no,low
